category,average_discount_percentage
Computers&Accessories|Tablets,0.29
Computers&Accessories|Monitors,0.505
Computers&Accessories|Components|Memory,0.49
Computers&Accessories|NetworkingDevices,0.66
MusicalInstruments|Microphones|Condenser,0.45999999999999996
HomeImprovement|Electrical|CordManagement,0.58
Electronics|HomeAudio|Accessories|Adapters,0.65
Electronics|Accessories|MemoryCards|MicroSD,0.58846153846153848
"Electronics|HomeTheater,TV&Video|Projectors",0.42666666666666664
Electronics|WearableTechnology|SmartWatches,0.69815789473684231
Electronics|Cameras&Photography|VideoCameras,0.75
Electronics|HomeAudio|Speakers|TowerSpeakers,0.43
Electronics|PowerAccessories|SurgeProtectors,0.14
Home&Kitchen|CraftMaterials|PaintingMaterials,0.0
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,0.21
Electronics|HomeAudio|Speakers|OutdoorSpeakers,0.5625
Computers&Accessories|NetworkingDevices|Routers,0.44666666666666666
Electronics|HomeAudio|Speakers|SoundbarSpeakers,0.6
Computers&Accessories|Laptops|TraditionalLaptops,0.38
Electronics|Cameras&Photography|Accessories|Film,0.0
"Electronics|Headphones,Earbuds&Accessories|Cases",0.76
Electronics|HomeAudio|Speakers|BluetoothSpeakers,0.485
HomeImprovement|Electrical|Adapters&Multi-Outlets,0.57
"Electronics|Headphones,Earbuds&Accessories|Earpads",0.9
OfficeProducts|OfficeElectronics|Calculators|Basic,0.0
Computers&Accessories|Components|InternalHardDrives,0.8
Electronics|GeneralPurposeBatteries&BatteryChargers,0.235
"Electronics|Headphones,Earbuds&Accessories|Adapters",0.88
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",0.39333333333333337
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",0.515
Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,0.093333333333333324
Computers&Accessories|Accessories&Peripherals|USBHubs,0.434
Electronics|Accessories|MemoryCards|SecureDigitalCards,0.44
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",0.23
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",0.42
Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,0.38
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",0.36
OfficeProducts|OfficeElectronics|Calculators|Scientific,0.025
"Computers&Accessories|Printers,Inks&Accessories|Printers",0.13666666666666666
Electronics|Mobiles&Accessories|MobileAccessories|Décor,0.732
Electronics|Mobiles&Accessories|MobileAccessories|Stands,0.7639999999999999
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans",0.38181818181818183
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",0.2466666666666667
Computers&Accessories|Components|InternalSolidStateDrives,0.48
Computers&Accessories|NetworkingDevices|DataCards&Dongles,0.35
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans",0.4
Computers&Accessories|Accessories&Peripherals|HardDiskBags,0.54333333333333333
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,0.39
Computers&Accessories|ExternalDevices&DataStorage|PenDrives,0.56900000000000006
Computers&Accessories|NetworkingDevices|Repeaters&Extenders,0.54333333333333345
Electronics|Cameras&Photography|SecurityCameras|DomeCameras,0.426
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,0.73
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",0.59510204081632667
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",0.5826923076923074
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",0.52374999999999994
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,0.0
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,0.64625
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",0.505
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",0.38285714285714284
Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,0.16
Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,0.6
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",0.69
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",0.59791666666666676
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,0.1
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",0.4245
Computers&Accessories|Accessories&Peripherals|LaptopAccessories,0.44
OfficeProducts|OfficeElectronics|Calculators|Financial&Business,0.0
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",0.52166666666666672
Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits,0.4
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",0.46333333333333332
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",0.5
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",0.29500000000000004
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",0.27
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,0.525
Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks,0.27
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",0.36000000000000004
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,0.9
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,0.23294117647058826
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",0.41333333333333333
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,0.38
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,0.18555555555555556
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",0.41000000000000009
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags,0.6
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses",0.27
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,0.52909090909090917
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers,0.42
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers,0.33
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,0.0
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,0.42
Computers&Accessories|Accessories&Peripherals|TabletAccessories|Stands,0.7
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",0.51333333333333331
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|StandMixers,0.48
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,0.78499999999999992
"Computers&Accessories|Printers,Inks&Accessories|Printers|InkjetPrinters",0.115
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,0.625
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,0.14285714285714285
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,0.51437499999999992
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,0.41684210526315796
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers,0.55
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,0.5892857142857143
